Agglomeration_ID,Agglomeration_Name,Country,AU_Regions,ISO3,Longitude,Latitude,Altitude,Population_2015,Density_2015,Builtup,Distance to metro,Closest Metro,Voronoi,Population_1950,Population_1960,Population_1970,Population_1980,Population_1990,Population_2000,Population_2010,pop_growth
19,Suhag,Egypt,North Africa,EGY,31.6,26.714,57,"3,749,685",11412,328.57,380,Cairo,497,"47,059","61,371","83,871","112,761","200,682","246,651","941,330",1420.2
20,Addis Ababa City,Ethiopia,East Africa,ETH,38.565,8.884,2098,"3,711,329",6991,530.85,0,Addis Ababa City,811,"363,424","541,699","795,900","1,287,595","1,804,507","2,406,005","2,985,585",54.3
21,Cape Town,South Africa,Southern Africa,ZAF,18.555,-33.969,23,"3,661,684",5825,628.66,0,Cape Town,609,"572,048","718,189","1,023,998","1,412,480","1,742,831","2,219,484","3,234,533",65
22,Kisii aggl.,Kenya,East Africa,KEN,34.66,-0.677,1470,"3,407,476",681,5000.77,0,Kisii aggl.,3700, -   , -   ,"7,012","30,742","45,728","67,192","2,369,634",4971.3
23,Durban,South Africa,Southern Africa,ZAF,31.005,-29.848,50,"3,088,935",3908,790.39,0,Durban,538,"487,116","655,370","850,103","946,400","1,251,744","2,528,713","2,926,918",22.2
24,Ibadan,Nigeria,West Africa,NGA,3.916,7.426,232,"3,088,477",5082,607.78,0,Ibadan,1047,"436,236","528,126","768,000","1,117,000","1,624,000","2,013,000","2,494,000",53.4
25,Dakar,Senegal,West Africa,SEN,-17.24,14.738,32,"3,067,637",15052,203.8,0,Dakar,189,"229,000","315,703","557,256","967,051","1,586,138","1,962,888","2,608,899",56.3
26,Kumasi,Ghana,West Africa,GHA,-1.643,6.683,263,"2,802,344",5053,554.62,0,Kumasi,1043,"93,413","180,642","346,336","448,030","684,899","1,207,199","2,376,694",132.1
27,Bamako,Mali,West Africa,MLI,-7.939,12.631,331,"2,781,734",5571,499.32,0,Bamako,5416,"82,834","128,323","202,016","494,032","747,828","1,234,187","2,196,074",125.4
28,Cidade de Maputo,Mozambique,Southern Africa,MOZ,32.552,-25.758,57,"2,607,026",3235,805.87,0,Cidade de Maputo,1207,"93,265","183,800","444,526","718,432","1,057,984","1,485,334","2,060,273",75.5
29,Douala,Cameroon,Central Africa,CMR,9.707,4.062,8,"2,567,572",11197,229.31,0,Douala,1933,"113,700","127,100","289,100","570,047","964,865","1,508,285","2,221,007",70.2
30,Tunis,Tunisia,North Africa,TUN,10.175,36.826,33,"2,442,503",4174,585.2,0,Tunis,633,"412,907","485,303","622,566","808,102","1,206,599","1,576,054","1,886,872",55
31,Lusaka,Zambia,Southern Africa,ZMB,28.279,-15.413,1272,"2,426,689",3902,621.98,0,Lusaka,2667,"39,300","113,124","256,652","535,830","769,353","1,179,250","1,930,481",105.8
32,Ouagadougou,Burkina Faso,West Africa,BFA,-1.52,12.346,306,"2,299,007",5667,405.69,0,Ouagadougou,1328,"35,481","60,246","146,367","298,680","579,165","994,647","1,810,703",131.1
33,Harare,Zimbabwe,Southern Africa,ZWE,31.04,-17.874,1462,"2,272,905",3191,712.21,0,Harare,1953,"187,705","375,594","383,394","596,532","1,043,258","1,483,846","1,636,455",53.2
34,Uyo,Nigeria,West Africa,NGA,7.777,5.08,79,"2,271,025",2563,885.98,113,Onitsha,496,"5,781","13,497","33,000","80,000","194,000","350,000","1,609,400",548.9
35,Sodo Town,Ethiopia,East Africa,ETH,37.612,7.112,1664,"2,261,958",1172,1929.53,0,Sodo Town,218,"6,794","8,527","11,410","20,609","30,953","51,000","96,897",4335.2
36,Mbale,Uganda,East Africa,UGA,34.385,0.964,1967,"2,228,643",2102,1060.18,0,Mbale,2257, -   ,"14,289","23,903","28,122","52,076","66,918","88,151",3230.4
37,Kigali,Rwanda,East Africa,RWA,30.166,-1.797,1750,"2,202,094",2551,863.08,0,Kigali,809,"11,767","6,015","57,400","129,356","223,157","790,733","2,052,569",178.5
38,Conakry,Guinea,West Africa,GIN,-13.534,9.703,16,"2,186,966",7410,295.14,0,Conakry,2163,"36,400","124,372","355,217","589,594","895,821","1,243,164","1,760,069",75.9
39,Hawassa City,Ethiopia,East Africa,ETH,38.408,6.743,1744,"2,182,604",1677,1301.78,0,Hawassa City,2003, -   , -   ,"10,740","27,146","53,069","100,889","200,287",2063.4
40,Lubumbashi,Democratic Republic of the Congo,Central Africa,COD,27.472,-11.655,1229,"2,077,000",6900,301,0,Lubumbashi,1352,"101,791","182,275","267,613","435,440","703,848","945,450","1,468,430",119.7
41,Embu aggl.,Kenya,East Africa,KEN,37.268,-0.668,1187,"2,046,897",1317,1554.74,0,Embu aggl.,1080, -   ,"5,652","4,457","16,731","28,203","109,701","175,151",1765.9
42,al-Mansura,Egypt,North Africa,EGY,31.462,31,4,"2,018,861",18018,112.05,98,Cairo,27,"139,698","185,944","243,956","333,015","432,095","506,930","847,892",298.3
43,Abuja,Nigeria,West Africa,NGA,7.466,9.083,481,"1,998,816",4089,488.85,343,Kano,535, -   ,"10,201","23,000","50,000","110,000","360,000","1,180,000",455.2
44,Tarâbulus,Libya,North Africa,LBY,13.176,32.894,9,"1,949,325",1117,1745.38,0,Tarâbulus,2289,"164,033","287,957","437,106","720,385","1,166,480","1,635,596","1,949,325",19.2
45,Rabat,Morocco,North Africa,MAR,-6.825,33.994,73,"1,925,479",7429,259.17,90,Casablanca,457,"200,763","303,244","491,453","738,250","1,032,533","1,296,424","1,737,585",48.5
46,Port Harcourt,Nigeria,West Africa,NGA,7.081,4.83,21,"1,845,232",5014,368.01,109,Onitsha,292,"68,052","150,765","237,000","371,000","582,000","899,000","1,389,000",105.3
47,Lomé/Aflao [TGO],Togo,West Africa,TGO,1.182,6.19,29,"1,733,330",4913,352.77,0,Lomé/Aflao [TGO],294,"42,658","125,974","188,876","371,153","474,308","673,769","1,400,316",157.3
48,Mogadisho,Somalia,East Africa,SOM,45.305,2.059,75,"1,712,400",11500,148.9,0,Mogadisho,539,"47,547","101,539","232,127","458,682","668,293","973,693","1,418,657",75.9
49,Aba,Nigeria,West Africa,NGA,7.355,5.224,83,"1,687,158",2733,617.27,72,Onitsha,512,"53,274","125,832","194,000","300,000","464,000","688,000","1,019,000",145.2
50,Brazzaville,Republic of the Congo,Central Africa,COG,15.249,-4.242,340,"1,588,304",7278,218.22,0,Brazzaville,3364,"81,400","94,000","216,619","449,723","702,481","1,017,373","1,451,564",56.1
51,Benin City,Nigeria,West Africa,NGA,5.642,6.326,80,"1,569,977",3587,437.64,168,Onitsha,1105,"51,065","103,363","199,000","382,000","733,000","907,000","1,122,000",73.1
52,Cotonou,Benin,West Africa,BEN,2.358,6.501,13,"1,527,277",4266,358.05,0,Cotonou,228,"21,000","78,300","162,166","344,021","529,599","845,680","1,092,682",80.6
53,Freetown,Sierra Leone,West Africa,SLE,-13.137,8.394,2,"1,456,596",7700,189.18,0,Freetown,1716,"73,406","112,529","206,121","367,152","538,351","738,431","1,055,000",97.3
54,Kaduna,Nigeria,West Africa,NGA,7.45,10.53,600,"1,447,250",5320,272.03,201,Kano,517,"36,854","109,535","211,000","407,000","785,000","882,000","990,000",64.1
55,Nsukka,Nigeria,West Africa,NGA,7.459,6.853,461,"1,430,312",2047,698.6,123,Onitsha,494,"13,965","23,648","31,000","41,000","53,100","276,000","1,430,300",418.2
56,Asyut,Egypt,North Africa,EGY,31.268,27.224,61,"1,345,668",13681,98.36,322,Cairo,3772,"97,389","122,747","169,155","230,293","311,387","368,737","567,162",264.9
57,Soshanguve,South Africa,Southern Africa,ZAF,28.121,-25.43,1145,"1,293,433",3403,380.07,69,Johannesburg,347, -   , -   , -   ,"63,220","136,623","348,634","1,096,648",271
58,Mombasa aggl.,Kenya,East Africa,KEN,39.69,-4.003,43,"1,257,654",8017,156.88,0,Mombasa aggl.,666,"94,343","161,308","254,352","350,570","477,164","711,002","1,013,838",76.9
59,Ndjamena/Kousséri [TCD],Chad,Central Africa,TCD,15.059,12.147,295,"1,210,048",5891,205.4,0,Ndjamena/Kousséri [TCD],1913,"23,500","65,643","148,919","284,685","459,829","694,435","1,005,570",74.2
60,Monrovia,Liberia,West Africa,LBR,-10.79,6.338,2,"1,190,635",5244,227.04,0,Monrovia,574,"22,900","64,861","150,042","315,255","529,941","763,323","1,008,929",56
61,Fes,Morocco,North Africa,MAR,-5.012,34.008,432,"1,174,743",10394,113.02,248,Casablanca,1024,"177,578","216,133","310,555","420,232","637,181","868,228","1,038,578",35.3
62,Bafoussam,Cameroon,Central Africa,CMR,10.208,5.428,1609,"1,146,230",607,1888.53,161,Douala,1483, -   ,"18,200","42,600","77,202","128,620","193,242","1,044,825",493.2
63,Lilongwe,Malawi,Southern Africa,MWI,33.619,-13.982,1134,"1,124,965",5303,212.12,0,Lilongwe,915, -   ,"10,974","35,083","127,887","278,034","460,886","802,256",144.1
64,al-Zaqaziq,Egypt,North Africa,EGY,31.484,30.584,14,"1,075,066",16657,64.54,55,Cairo,47,"90,433","123,082","179,755","257,193","375,709","437,927","645,509",145.5
65,Niamey,Niger,West Africa,NER,2.116,13.518,205,"1,071,481",6298,170.13,0,Niamey,4553,"8,300","33,373","100,820","260,227","427,810","660,907","906,683",62.1
66,Gisenyi/Kisoro[RWA],Rwanda,East Africa,RWA,29.506,-1.576,2529,"1,069,680",3483,307.11,77,Kigali,654,"7,696","1,605","6,300","13,794","21,222","20,831","545,256",5035
67,Nouakchott,Mauritania,North Africa,MRT,-15.928,18.092,7,"1,060,776",5697,186.2,0,Nouakchott,23312,415,"2,750","40,796","184,139","416,956","558,195","850,753",90
68,Blantyre,Malawi,Southern Africa,MWI,35.021,-15.764,1051,"1,057,790",5460,193.75,0,Blantyre,878,"24,483","76,312","140,860","248,031","371,305","526,871","849,573",100.8
69,Bujumbura,Burundi,Central Africa,BDI,29.41,-3.472,1304,"1,043,847",3620,288.38,81,Bujumbura,1117,"18,954","49,218","95,565","167,903","235,440","356,636","881,697",192.7
70,Oran,Algeria,North Africa,DZA,-0.645,35.699,91,"1,043,424",5698,183.12,353,Alger,99,"253,036","348,973","376,371","518,853","624,531","775,288","872,395",34.6
71,Maiduguri,Nigeria,West Africa,NGA,13.132,11.84,326,"1,012,148",7262,139.37,213,Ndjamena/Kousséri [TCD],2975,"53,960","95,317","166,000","287,000","499,000","582,000","679,000",73.9
72,Dumyat,Egypt,North Africa,EGY,31.841,31.357,0,"1,009,253",7740,130.4,147,Cairo,200,"57,500","71,244","88,839","136,072","226,989","295,646","669,375",241.4
73,Tanger,Morocco,North Africa,MAR,-5.841,35.742,69,"1,007,874",8671,116.24,295,Casablanca,1016,"104,940","141,741","181,971","247,999","398,558","590,040","821,664",70.8
74,Marrakech,Morocco,North Africa,MAR,-8.024,31.633,450,"1,007,166",8143,123.68,215,Casablanca,865,"213,159","243,134","321,087","415,354","576,634","753,737","882,365",33.6
75,Agadir,Morocco,North Africa,MAR,-9.534,30.376,27,"978,629",8301,117.89,394,Casablanca,786,"29,810","16,695","52,795","179,070","360,305","610,008","780,006",60.4
76,Bangui,Central African Republic,Central Africa,CAF,18.535,4.398,365,"945,883",9446,100.14,0,Bangui,6399,"37,614","84,013","199,139","338,394","446,970","625,053","841,092",51.3
77,Enugu,Nigeria,West Africa,NGA,7.507,6.438,195,"905,042",5078,178.22,84,Onitsha,444,"59,626","105,432","159,000","240,000","363,000","471,000","611,000",92.2
78,Mbuji-Mayi,Democratic Republic of the Congo,Central Africa,COD,23.622,-6.141,567,"901,000",7100,126.9,707,Bujumbura,464,"14,337","54,395","256,154","404,873","658,720","765,242","820,000",17.7
79,Ilorin,Nigeria,West Africa,NGA,4.57,8.481,314,"891,330",4056,219.73,137,Ibadan,387,"38,944","170,143","248,000","361,000","526,000","638,000","774,000",39.7
80,Libreville,Gabon,Central Africa,GAB,9.565,0.42,22,"885,670",4040,219.21,0,Libreville,13365,"10,400","27,400","71,400","150,075","353,754","529,811","727,158",67.2
81,Touba Mosquée,Senegal,West Africa,SEN,-15.888,14.853,49,"872,732",5244,166.43,0,Touba Mosquée,3544, -   ,"5,000","9,429","50,623","161,245","331,428","684,776",163.3
82,Jos,Nigeria,West Africa,NGA,8.887,9.874,1278,"870,424",4734,183.86,238,Kano,752,"36,601","63,949","123,000","237,000","455,000","575,000","684,000",51.4
83,Maua aggl.,Kenya,East Africa,KEN,37.674,0.24,1299,"848,272",899,943.26,110,Embu aggl.,3123, -   , -   , -   ,"1,946","4,697","65,752","79,474",1190.1
84,Pointe Noire,Republic of the Congo,Central Africa,COG,11.913,-4.825,21,"845,481",4513,187.34,0,Pointe Noire,6872,"21,000","68,000","114,132","221,157","365,799","535,320","758,807",57.9
85,Sokoto,Nigeria,West Africa,NGA,5.236,13.021,299,"840,020",9602,87.48,343,Niamey,256,"45,261","68,886","108,000","169,000","264,000","357,000","484,000",135.3
86,Arusha,Tanzania,East Africa,TZA,36.959,-3.378,1084,"833,507",2658,313.63,243,Nairobi aggl.,1339,"6,062","14,024","37,240","58,719","91,443","430,535","648,589",93.6
87,Zaria,Nigeria,West Africa,NGA,7.727,11.103,632,"796,340",9002,88.46,132,Kano,892,"51,275","77,896","131,000","221,000","373,000","506,000","686,000",57.4
88,Serrekunda,The Gambia,West Africa,GMB,-16.674,13.395,23,"788,777",4814,163.86,0,Serrekunda,224, -   ,"8,875","28,549","84,322","206,399","395,969","634,696",99.2
89,Port Elizabeth,South Africa,Southern Africa,ZAF,25.608,-33.914,11,"788,204",5794,136.04,537,Maseru,300,"185,970","270,815","386,577","525,020","301,512","608,384","736,448",29.6
90,Evaton Central,South Africa,Southern Africa,ZAF,28.006,-26.537,1508,"784,481",4202,186.68,57,Johannesburg,408,"24,313","38,714","46,500","81,940","209,137","276,713","697,841",183.5
91,Osogbo,Nigeria,West Africa,NGA,4.509,7.784,304,"763,544",4186,182.4,76,Ibadan,430,"116,573","139,888","166,000","196,000","232,000","410,000","601,000",86.2
92,Tanta,Egypt,North Africa,EGY,31.023,30.76,9,"755,175",22475,33.6,73,Cairo,37,"152,340","197,877","273,021","341,435","446,925","509,338","646,495",48.3
93,Bukavu,Democratic Republic of the Congo,Central Africa,COD,28.887,-2.567,1656,"754,000",8798,85.7,116,Bujumbura,196,"22,801","57,315","134,861","157,744","187,399","404,697","613,000",86.3
94,Bomet aggl.,Kenya,East Africa,KEN,35.242,-0.736,1875,"753,093",501,1503.97,65,Kisii aggl.,5210, -   , -   , -   , -   ,"1,168","11,488","12,093",6455.5
95,Abeokuta,Nigeria,West Africa,NGA,3.361,7.17,94,"747,542",4593,162.76,56,Lagos,861,"80,228","157,982","209,000","278,000","368,000","412,000","462,000",81.4
96,Mwanza,Tanzania,East Africa,TZA,32.972,-2.547,1235,"741,876",3403,217.98,279,Kisii aggl.,441,"12,687","23,329","45,906","109,447","178,412","377,617","636,457",96.5
97,Zanzibar,Tanzania,East Africa,TZA,39.342,-6.113,39,"733,039",4249,172.54,81,Dar es Salaam,1203,"47,634","60,756","77,557","118,153","176,987","346,076","631,059",111.8
98,Ikorodu,Nigeria,West Africa,NGA,3.56,6.661,33,"732,343",2680,273.27,27,Lagos,602,"8,645","48,832","74,000","112,000","169,000","302,000","539,000",142.5
99,Hargeisa,Somalia,East Africa,SOM,44.063,9.556,1305,"706,400",11999,58.87,0,Hargeisa,15904,"30,375","38,445","53,260","85,696","156,567","286,049","522,613",147
100,Constantine,Algeria,North Africa,DZA,6.619,36.355,571,"703,927",5047,139.48,322,Tunis,264,"88,273","171,636","278,050","368,943","447,619","467,074","552,914",50.7
101,al-Bilina,Egypt,North Africa,EGY,32.01,26.197,66,"701,286",10645,65.88,442,Cairo,207,"17,257","20,955","23,436","28,496","35,549","42,277","156,806",1558.8
102,Butembo,Democratic Republic of the Congo,Central Africa,COD,29.291,0.139,1806,"691,000",7998,86.4,235,Kigali,335,"5,591","13,032","27,790","55,566","93,569","190,000","300,000",263.7
103,Takoradi,Ghana,West Africa,GHA,-1.776,4.932,17,"679,797",8063,84.31,194,Accra,202,"20,064","40,900","80,309","105,707","136,914","289,595","550,839",134.7
104,Port Said,Egypt,North Africa,EGY,32.285,31.238,3,"678,467",26849,25.27,158,Cairo,198,"149,935","228,759","248,949","305,736","430,023","503,889","589,191",34.6
105,Bobo-Dioulasso,Burkina Faso,West Africa,BFA,-4.295,11.201,424,"667,853",6412,104.16,0,Bobo-Dioulasso,2423,"39,400","52,642","89,732","157,271","259,261","364,528","556,615",83.2
106,Bulawayo,Zimbabwe,Southern Africa,ZWE,28.573,-20.158,1356,"663,804",3820,173.78,0,Bulawayo,4563,"115,511","279,100","248,049","377,984","494,352","577,657","572,572",14.9
107,al-Fayyum,Egypt,North Africa,EGY,30.872,29.32,20,"646,968",23733,27.26,97,Cairo,32,"87,841","111,467","144,758","182,245","233,316","283,028","359,925",128.6
108,Meknes,Morocco,North Africa,MAR,-5.539,33.882,545,"629,519",9448,66.63,198,Casablanca,724,"138,976","175,943","238,827","303,672","387,502","481,172","572,710",30.8
109,Lubango,Angola,Southern Africa,AGO,13.495,-14.92,1826,"615,770",5066,121.56,664,Luanda,4379,"11,700","15,100","31,674","69,933","123,656","188,562","410,346",226.6
110,Pietermaritzburg Central,South Africa,Southern Africa,ZAF,30.418,-29.628,656,"612,948",2792,219.5,62,Durban,612,"74,759","95,124","112,665","202,000","256,250","198,612","574,241",208.6
111,Kolwezi,Democratic Republic of the Congo,Central Africa,COD,25.489,-10.727,1490,"602,000",7257,82.96,240,Lubumbashi,882,"25,874","56,532","83,418","167,142","323,720","273,530","462,000",120.1
112,Kitwe,Zambia,Southern Africa,ZMB,28.212,-12.81,1232,"601,203",6141,97.9,0,Kitwe,724,"63,600","107,802","186,033","266,286","288,602","363,734","501,360",65.3
113,Gombe,Nigeria,West Africa,NGA,11.155,10.291,500,"600,870",8326,72.17,343,Kano,533,"17,575","33,147","60,000","107,000","192,000","258,000","348,000",132.9
114,Huambo,Angola,Southern Africa,AGO,15.76,-12.795,1678,"599,937",6226,96.36,506,Luanda,3606,"28,300","38,800","61,885","144,575","226,885","273,101","451,103",119.7
115,Ruhango,Rwanda,East Africa,RWA,29.824,-2.098,1712,"599,923",3037,197.53,51,Kigali,703, -   , -   , -   , -   , -   ,"52,732","568,926",1037.7
116,Banghâzî,Libya,North Africa,LBY,20.072,32.113,5,"594,255",2592,229.27,654,Tarâbulus,1290,"68,762","103,989","166,569","249,318","492,035","583,459","594,255",1.9
117,Warri,Nigeria,West Africa,NGA,5.778,5.537,8,"585,552",4162,140.68,147,Onitsha,837,"18,620","42,325","69,000","113,000","184,000","309,000","518,000",89.5
118,Porto Novo,Benin,West Africa,BEN,2.625,6.55,32,"572,430",4237,135.09,0,Porto Novo,110,"29,000","64,000","91,673","158,945","237,686","310,265","469,908",84.5
119,Cabinda,Angola,Southern Africa,AGO,12.226,-5.58,34,"569,186",7338,77.57,90,Pointe Noire,1507,"5,000","4,700","21,124","40,089","86,579","203,807","432,841",179.3
120,Benguela,Angola,Southern Africa,AGO,13.402,-12.615,41,"569,002",5968,95.34,408,Luanda,1437,"14,700","23,300","40,996","106,000","142,052","122,831","301,085",363.2
121,Sousse,Tunisia,North Africa,TUN,10.635,35.837,10,"567,802",3180,178.5,117,Tunis,404,"40,707","52,251","76,635","95,233","154,034","296,946","482,905",91.2
122,Suez,Egypt,North Africa,EGY,32.508,29.978,13,"566,025",7378,76.72,122,Cairo,15311,"114,482","189,321","232,163","216,760","305,921","375,165","533,940",50.9
123,Nyala,Sudan,East Africa,SDN,24.887,12.054,663,"564,582",6645,84.96,911,Khartum,2905,"7,000","18,840","44,352","95,311","189,200","331,563","521,379",70.3
124,Djibouti,Djibouti,East Africa,DJI,43.107,11.568,37,"555,403",9658,57.51,0,Djibouti,1709,"31,900","37,400","88,600","183,954","273,557","390,883","487,818",42.1
125,Nakuru aggl.,Kenya,East Africa,KEN,36.069,-0.275,1989,"555,043",2525,219.84,133,Nairobi aggl.,465,"19,683","34,189","50,116","97,725","169,084","427,749","458,792",29.8
126,Bouake,Cote d`Ivoire,West Africa,CIV,-5.04,7.698,367,"552,444",6567,84.13,0,Bouake,3326,"27,710","59,321","122,386","222,411","357,309","472,921","518,652",16.8
127,Akure,Nigeria,West Africa,NGA,5.202,7.245,343,"532,778",3362,158.45,143,Ibadan,265,"36,955","70,780","113,000","181,000","290,000","370,000","472,000",44
128,Mbeya,Tanzania,East Africa,TZA,33.388,-8.963,1590,"530,432",3990,132.94,556,Lilongwe,1769,"3,732","8,196","19,751","79,914","128,885","253,111","450,791",109.6
129,Bauchi,Nigeria,West Africa,NGA,9.816,10.308,612,"528,440",5500,96.08,234,Kano,1908,"12,825","28,600","58,000","118,000","240,000","316,000","417,000",67.2
130,Mit Ghamr,Egypt,North Africa,EGY,31.298,30.675,10,"523,195",16959,30.85,61,Cairo,16,"66,205","90,301","116,124","152,071","189,651","218,618","300,800",139.3
131,al-Manzala,Egypt,North Africa,EGY,31.966,31.171,3,"523,153",14577,35.89,134,Cairo,132,"23,379","29,187","36,748","47,508","62,559","71,878","90,587",627.8
132,Kananga,Democratic Republic of the Congo,Central Africa,COD,22.412,-5.893,609,"521,000",8197,63.56,798,Kinshasa,1173,"43,898","135,282","203,398","331,236","352,202","524,663","450,000",-0.7
133,Sfax,Tunisia,North Africa,TUN,10.72,34.75,16,"520,896",1874,278,236,Tunis,913,"58,679","67,679","137,803","301,681","376,035","443,125","499,879",17.6
134,Calabar,Nigeria,West Africa,NGA,8.345,4.998,38,"516,941",6410,80.64,147,Malabo,552,"44,370","71,287","93,000","121,000","158,000","245,000","380,000",111
135,Akhmim,Egypt,North Africa,EGY,31.699,26.652,60,"516,789",12907,40.04,388,Cairo,502,"44,000","41,660","47,734","77,386","103,957","130,025","162,796",297.5
136,Ndola,Zambia,Southern Africa,ZMB,28.616,-12.986,1277,"516,129",4530,113.94,0,Ndola,4602,"38,300","88,223","159,740","281,315","329,228","374,757","451,246",37.7
137,Oujda,Morocco,North Africa,MAR,-1.903,34.686,548,"516,125",7137,72.32,504,Alger,1891,"79,741","128,645","169,441","239,985","319,277","381,656","452,102",35.2
138,Meru aggl.,Kenya,East Africa,KEN,37.969,-0.038,740,"515,084",1033,498.65,105,Embu aggl.,14257, -   , -   ,"5,735","72,357","97,426","186,022","224,842",176.9
139,Lobito,Angola,Southern Africa,AGO,13.572,-12.404,112,"510,399",7140,71.48,386,Luanda,2031,"23,900","50,200","59,528","116,831","145,223","133,129","294,044",283.4
140,Cidade da Beira,Mozambique,Southern Africa,MOZ,34.857,-19.761,10,"509,421",4856,104.91,443,Blantyre,2324,"42,600","58,200","46,300","213,417","307,632","406,810","457,845",25.2
141,Ife,Nigeria,West Africa,NGA,4.54,7.484,274,"498,267",6145,81.09,69,Ibadan,332,"105,251","91,905","115,000","144,000","180,000","232,000","299,000",114.8
142,al-Ismailiyya,Egypt,North Africa,EGY,32.241,30.596,12,"491,635",10007,49.13,108,Cairo,421,"77,503","114,717","144,797","202,874","276,923","326,107","481,383",50.8
143,Moshi,Tanzania,East Africa,TZA,37.328,-3.323,947,"479,698",1599,299.92,243,Nairobi aggl.,861,"8,981","16,621","30,929","53,052","102,032","255,185","330,558",88
144,Kericho aggl.,Kenya,East Africa,KEN,35.214,-0.373,1930,"473,579",1241,381.59,70,Kisii aggl.,1962,"3,645","6,792","11,170","30,949","51,448","68,726","98,968",589.1
145,Malanje,Angola,Southern Africa,AGO,16.363,-9.544,1139,"469,005",8763,53.52,343,Luanda,13386,"9,500","19,300","31,599","57,545","104,795","190,843","286,663",145.8
146,Kenitra,Morocco,North Africa,MAR,-6.587,34.26,14,"467,121",8208,56.91,126,Casablanca,632,"55,346","86,775","131,927","176,938","250,179","329,118","399,003",41.9
147,Asmara,Eritrea,East Africa,ERI,38.917,15.331,2329,"465,360",14000,33.24,0,Asmara,665,"99,329","123,500","218,360","286,738","359,900","406,875","444,986",14.4
